Group Starts,Sum - Volume (Lynden/Aldergrove North Trucks),Sum - Volume (Lynden/Aldergrove South Trucks),Sum - Volume (Pacific Highway North Trucks),Sum - Volume (Pacific Highway South Trucks),Sum - Volume (Sumas/Huntingdon North Trucks)
2018-02-04 00:00:00,20.0,47.0,477.0,1084.0,59.0
2018-02-05 00:00:00,164.0,246.0,1062.0,1208.0,406.0
2018-02-06 00:00:00,166.0,228.0,1126.0,1460.0,430.0
2018-02-07 00:00:00,170.0,196.0,1272.0,1475.0,403.0
2018-02-08 00:00:00,170.0,171.0,1269.0,1383.0,431.0
2018-02-09 00:00:00,176.0,247.0,1291.0,1470.0,398.0
2018-02-10 00:00:00,41.0,56.0,683.0,1508.0,114.0
2018-02-11 00:00:00,32.0,60.0,501.0,1277.0,54.0
2018-02-12 00:00:00,126.0,126.0,869.0,1482.0,263.0
2018-02-13 00:00:00,152.0,225.0,1030.0,1384.0,415.0
2018-02-14 00:00:00,175.0,257.0,1024.0,1439.0,439.0
2018-02-15 00:00:00,157.0,211.0,1270.0,1276.0,421.0
2018-02-16 00:00:00,175.0,232.0,1191.0,1376.0,464.0
2018-02-17 00:00:00,69.0,73.0,662.0,1212.0,127.0
2018-02-18 00:00:00,8.0,53.0,524.0,1095.0,79.0
2018-02-19 00:00:00,117.0,175.0,994.0,1476.0,393.0
2018-02-20 00:00:00,180.0,213.0,1048.0,1514.0,429.0
2018-02-21 00:00:00,173.0,216.0,1215.0,1596.0,418.0
2018-02-22 00:00:00,161.0,178.0,1139.0,1608.0,439.0
2018-02-23 00:00:00,128.0,149.0,1221.0,1493.0,426.0
2018-02-24 00:00:00,31.0,49.0,568.0,1419.0,112.0
2018-02-25 00:00:00,16.0,53.0,375.0,1096.0,47.0
2018-02-26 00:00:00,134.0,209.0,932.0,1533.0,390.0
2018-02-27 00:00:00,69.0,201.0,629.0,1594.0,246.0
2018-02-28 00:00:00,180.0,192.0,1174.0,1717.0,434.0
2018-03-01 00:00:00,2.0,238.0,277.0,1504.0,44.0
2018-03-02 00:00:00,,174.0,,1610.0,
2018-03-03 00:00:00,,70.0,,1138.0,
2018-03-04 00:00:00,17.0,47.0,294.0,1029.0,41.0
2018-03-05 00:00:00,155.0,217.0,848.0,1587.0,420.0
2018-03-06 00:00:00,196.0,246.0,1159.0,1585.0,475.0
2018-03-07 00:00:00,178.0,226.0,1281.0,1707.0,426.0
2018-03-08 00:00:00,183.0,180.0,1235.0,1695.0,451.0
2018-03-09 00:00:00,204.0,199.0,1126.0,1762.0,456.0
2018-03-10 00:00:00,56.0,80.0,714.0,1179.0,128.0
2018-03-11 00:00:00,43.0,55.0,528.0,1119.0,76.0
2018-03-12 00:00:00,168.0,188.0,1061.0,1607.0,409.0
2018-03-13 00:00:00,156.0,238.0,1135.0,1457.0,435.0
2018-03-14 00:00:00,186.0,215.0,1318.0,1623.0,424.0
2018-03-15 00:00:00,181.0,212.0,1282.0,1691.0,454.0
2018-03-16 00:00:00,186.0,236.0,1335.0,1621.0,484.0
2018-03-17 00:00:00,52.0,94.0,683.0,1604.0,126.0
2018-03-18 00:00:00,23.0,69.0,498.0,1197.0,62.0
2018-03-19 00:00:00,167.0,199.0,1186.0,1567.0,405.0
2018-03-20 00:00:00,181.0,252.0,1168.0,1617.0,415.0
2018-03-21 00:00:00,199.0,264.0,1337.0,1388.0,438.0
2018-03-22 00:00:00,157.0,213.0,1248.0,1607.0,458.0
2018-03-23 00:00:00,181.0,205.0,1239.0,1577.0,440.0
2018-03-24 00:00:00,63.0,76.0,698.0,1169.0,114.0
2018-03-25 00:00:00,37.0,59.0,584.0,1087.0,70.0
2018-03-26 00:00:00,152.0,243.0,1157.0,1570.0,428.0
2018-03-27 00:00:00,179.0,224.0,1229.0,1705.0,434.0
2018-03-28 00:00:00,203.0,275.0,1271.0,1669.0,440.0
