Group Starts,Avg - Delay (Peace Arch North Cars),Sum - Volume (Peace Arch North Cars),Avg - Delay (Peace Arch North NEXUS),Sum - Volume (Peace Arch North NEXUS)
2019-01-01 00:00:00,7.8,2782.0,1.0,2083.0
2019-01-02 00:00:00,11.8,2642.0,2.7,2763.0
2019-01-03 00:00:00,6.3,2503.0,0.7,2469.0
2019-01-04 00:00:00,12.2,2717.0,2.8,3026.0
2019-01-05 00:00:00,5.0,3310.0,0.9,3118.0
2019-01-06 00:00:00,5.4,2631.0,0.6,2717.0
2019-01-07 00:00:00,0.1,2126.0,0.1,2694.0
2019-01-08 00:00:00,1.8,1751.0,0.7,2342.0
2019-01-09 00:00:00,2.0,1733.0,0.9,2409.0
2019-01-10 00:00:00,5.5,1963.0,3.2,2393.0
2019-01-11 00:00:00,6.5,2649.0,2.1,2840.0
2019-01-12 00:00:00,2.6,3234.0,0.8,3324.0
2019-01-13 00:00:00,0.9,2670.0,0.8,2389.0
2019-01-14 00:00:00,0.3,2124.0,0.1,2591.0
2019-01-15 00:00:00,1.6,1819.0,0.6,2396.0
2019-01-16 00:00:00,0.6,1865.0,0.2,2414.0
2019-01-17 00:00:00,7.0,1916.0,1.4,2514.0
2019-01-18 00:00:00,23.0,3077.0,2.6,2948.0
2019-01-19 00:00:00,12.1,3911.0,2.3,3404.0
2019-01-20 00:00:00,7.5,3272.0,2.0,2951.0
2019-01-21 00:00:00,3.9,2111.0,0.3,2527.0
2019-01-22 00:00:00,0.0,1769.0,0.0,2282.0
2019-01-23 00:00:00,0.6,1927.0,0.0,2517.0
2019-01-24 00:00:00,2.4,2222.0,0.1,2563.0
2019-01-25 00:00:00,7.5,2684.0,2.4,2868.0
2019-01-26 00:00:00,6.0,3203.0,1.6,3208.0
2019-01-27 00:00:00,12.4,2773.0,2.7,3132.0
2019-01-28 00:00:00,2.6,2273.0,0.3,2712.0
2019-01-29 00:00:00,0.1,1879.0,0.1,2447.0
2019-01-30 00:00:00,,,,
2019-01-31 00:00:00,,,,
2019-02-01 00:00:00,18.2,2144.0,0.4,2344.0
2019-02-02 00:00:00,8.7,3156.0,1.0,3397.0
2019-02-03 00:00:00,3.6,2460.0,0.2,2468.0
2019-02-04 00:00:00,1.6,1722.0,0.4,2244.0
2019-02-05 00:00:00,0.7,1822.0,0.5,2383.0
2019-02-06 00:00:00,1.2,1971.0,1.6,2500.0
2019-02-07 00:00:00,2.9,2327.0,0.2,2818.0
2019-02-08 00:00:00,4.6,2276.0,0.0,2379.0
2019-02-09 00:00:00,3.4,2245.0,0.8,2779.0
2019-02-10 00:00:00,5.0,2238.0,1.7,2247.0
2019-02-11 00:00:00,1.6,1266.0,0.3,1191.0
2019-02-12 00:00:00,0.0,860.0,0.0,931.0
2019-02-13 00:00:00,0.7,1503.0,0.3,1970.0
2019-02-14 00:00:00,0.0,828.0,0.0,590.0
2019-02-15 00:00:00,15.9,2956.0,1.3,2541.0
2019-02-16 00:00:00,9.3,3799.0,1.6,3217.0
2019-02-17 00:00:00,11.1,3478.0,1.0,3062.0
2019-02-18 00:00:00,16.8,3808.0,3.7,3713.0
2019-02-19 00:00:00,2.1,2128.0,0.2,2308.0
2019-02-20 00:00:00,6.4,2122.0,1.0,2645.0
2019-02-21 00:00:00,8.1,2658.0,2.8,2836.0
2019-02-22 00:00:00,10.9,2625.0,0.4,2595.0
2019-02-23 00:00:00,2.8,3379.0,0.2,3019.0
2019-02-24 00:00:00,6.0,2896.0,1.6,3001.0
2019-02-25 00:00:00,0.5,2124.0,0.1,2771.0
2019-02-26 00:00:00,3.3,1891.0,0.0,2573.0
2019-02-27 00:00:00,2.9,1917.0,0.2,2509.0
2019-02-28 00:00:00,1.7,2547.0,2.1,2447.0
2019-03-01 00:00:00,6.7,2990.0,2.4,3063.0
2019-03-02 00:00:00,7.2,3740.0,0.6,3484.0
2019-03-03 00:00:00,6.5,3374.0,1.4,3303.0
2019-03-04 00:00:00,1.3,2355.0,0.3,2891.0
2019-03-05 00:00:00,1.0,2098.0,0.7,2625.0
2019-03-06 00:00:00,1.2,2065.0,0.2,2472.0
2019-03-07 00:00:00,1.9,2342.0,0.3,2550.0
2019-03-08 00:00:00,8.3,3051.0,1.2,2987.0
2019-03-09 00:00:00,9.1,3879.0,1.6,3509.0
2019-03-10 00:00:00,4.9,3131.0,0.7,3192.0
2019-03-11 00:00:00,1.9,2366.0,0.2,2860.0
2019-03-12 00:00:00,2.5,1999.0,1.7,2613.0
2019-03-13 00:00:00,3.8,2231.0,0.3,2852.0
2019-03-14 00:00:00,6.2,2281.0,0.8,2851.0
2019-03-15 00:00:00,12.6,2967.0,0.5,3119.0
2019-03-16 00:00:00,9.1,3404.0,3.6,3362.0
2019-03-17 00:00:00,3.0,3691.0,0.6,3326.0
2019-03-18 00:00:00,3.4,2766.0,1.7,3148.0
2019-03-19 00:00:00,2.5,5341.0,0.1,270.0
2019-03-20 00:00:00,2.2,5646.0,0.0,4.0
2019-03-21 00:00:00,7.3,4608.0,0.1,1650.0
2019-03-22 00:00:00,14.6,3361.0,2.8,3100.0
2019-03-23 00:00:00,21.3,4087.0,1.7,3570.0
2019-03-24 00:00:00,9.8,4244.0,0.3,3544.0
2019-03-25 00:00:00,17.9,3144.0,1.2,3394.0
2019-03-26 00:00:00,14.7,2839.0,1.8,2972.0
2019-03-27 00:00:00,14.0,3213.0,1.8,3222.0
2019-03-28 00:00:00,8.8,3585.0,0.1,3296.0
2019-03-29 00:00:00,16.0,3817.0,1.9,3381.0
2019-03-30 00:00:00,18.2,4904.0,1.7,3872.0
2019-03-31 00:00:00,9.9,4599.0,1.5,3732.0
2019-04-01 00:00:00,6.2,2905.0,3.6,3227.0
2019-04-02 00:00:00,2.9,2672.0,1.9,3045.0
2019-04-03 00:00:00,6.8,2507.0,1.6,2948.0
2019-04-04 00:00:00,4.3,2771.0,0.7,3334.0
2019-04-05 00:00:00,16.4,3322.0,0.6,3411.0
2019-04-06 00:00:00,14.7,3832.0,4.4,3674.0
2019-04-07 00:00:00,18.8,3216.0,3.3,3395.0
2019-04-08 00:00:00,8.7,2587.0,1.5,3233.0
2019-04-09 00:00:00,3.3,2515.0,0.3,3040.0
2019-04-10 00:00:00,2.9,2551.0,0.9,2981.0
2019-04-11 00:00:00,9.3,2939.0,1.4,3154.0
2019-04-12 00:00:00,11.1,3643.0,1.9,3724.0
2019-04-13 00:00:00,13.5,3357.0,1.4,3673.0
2019-04-14 00:00:00,8.6,3334.0,1.1,3531.0
2019-04-15 00:00:00,3.6,2744.0,1.4,3497.0
2019-04-16 00:00:00,4.9,2470.0,0.7,3233.0
2019-04-17 00:00:00,4.4,2810.0,1.6,3466.0
2019-04-18 00:00:00,5.5,2849.0,1.3,3198.0
2019-04-19 00:00:00,8.5,3596.0,1.4,3058.0
2019-04-20 00:00:00,12.8,4704.0,1.7,3854.0
2019-04-21 00:00:00,19.8,4118.0,1.4,3648.0
2019-04-22 00:00:00,6.8,4342.0,2.4,4022.0
2019-04-23 00:00:00,4.1,3053.0,0.8,3734.0
2019-04-24 00:00:00,6.2,3658.0,4.1,2910.0
2019-04-25 00:00:00,8.7,3131.0,2.1,3537.0
2019-04-26 00:00:00,10.2,3556.0,2.5,3824.0
2019-04-27 00:00:00,11.0,4307.0,0.8,3820.0
2019-04-28 00:00:00,7.9,3738.0,1.9,4009.0
2019-04-29 00:00:00,5.8,2860.0,1.6,3610.0
2019-04-30 00:00:00,8.0,2656.0,1.5,3373.0
2019-05-01 00:00:00,4.8,2742.0,0.4,3455.0
2019-05-02 00:00:00,2.0,852.0,0.5,754.0
2019-05-03 00:00:00,5.0,3526.0,3.1,3399.0
2019-05-04 00:00:00,9.6,3972.0,1.0,3779.0
2019-05-05 00:00:00,3.7,4050.0,2.1,3893.0
